origin_name,origin_lat,origin_lng,dest_lat,dest_lng,ship_datetime,delivery_datetime,value,weight,cube,brand
Reno NV DC,39.5296,-119.8138,34.0529,-118.3019,2026-01-30 15:13:13,2026-01-31 09:07:50,92.94,9.2,2.73,Alpine
Atlanta GA DC,33.6407,-84.4277,37.0109,-122.0032,2026-01-27 13:47:05,2026-01-28 10:25:22,20.61,2.2,0.58,Ridge
Reno NV DC,39.5296,-119.8138,34.0928,-118.2701,2026-01-25 16:08:50,2026-01-26 10:03:21,11.7,8.5,0.66,Horizon
Atlanta GA DC,33.6407,-84.4277,29.5246,-98.6645,2026-01-04 11:50:38,2026-01-05 08:58:54,78.76,3.1,0.76,Atlas
Atlanta GA DC,33.6407,-84.4277,41.2513,-96.3401,2026-01-05 14:26:04,2026-01-05 16:46:36,75.45,10.8,1.21,Horizon
Reno NV DC,39.5296,-119.8138,39.1439,-76.8458,2026-01-07 15:19:08,2026-01-08 08:24:30,75.17,6.5,0.78,Cascade
Dallas TX DC,32.8998,-96.8379,41.2133,-95.7867,2026-01-30 07:07:39,2026-01-30 16:35:59,21.09,3.2,0.41,Cascade
Chicago IL DC,41.85,-87.882,41.7761,-87.683,2026-01-01 17:46:03,2026-01-02 09:19:07,25.78,6.3,0.81,Cascade
Chicago IL DC,41.85,-87.882,47.5661,-122.2095,2026-01-13 13:26:41,2026-01-14 11:11:48,43.97,2.7,0.53,Metro
Dallas TX DC,32.8998,-96.8379,29.6632,-95.3328,2026-01-28 14:05:00,2026-01-28 18:58:06,6.98,12.9,1.37,Summit
Edison NJ DC,40.5187,-74.4121,41.1259,-73.8826,2026-01-24 07:36:44,2026-01-24 13:16:00,64.47,1.6,0.08,Cascade
Dallas TX DC,32.8998,-96.8379,33.8017,-84.1223,2026-01-14 07:07:33,2026-01-14 16:45:38,156.89,7.8,1.37,Ridge
Atlanta GA DC,33.6407,-84.4277,27.9438,-82.6273,2026-01-08 10:33:45,2026-01-08 15:42:45,21.78,3.0,0.39,Cascade
Atlanta GA DC,33.6407,-84.4277,40.7399,-73.7768,2026-01-02 10:26:41,2026-01-02 16:24:53,84.39,5.5,1.57,Pacific
Edison NJ DC,40.5187,-74.4121,42.5849,-71.3546,2026-01-23 10:14:40,2026-01-23 18:40:06,15.53,2.8,0.7,Horizon
Chicago IL DC,41.85,-87.882,36.5315,-86.9857,2026-01-28 10:05:19,2026-01-28 15:14:01,71.46,2.7,0.44,Metro
Memphis TN DC,35.1175,-89.9711,25.58,-80.0193,2026-01-08 14:34:07,2026-01-08 16:54:43,19.93,15.3,1.68,Ridge
Reno NV DC,39.5296,-119.8138,37.2414,-121.9274,2026-01-24 16:47:59,2026-01-25 09:53:23,10.15,2.7,0.19,Summit
Edison NJ DC,40.5187,-74.4121,40.754,-74.2954,2026-01-04 19:22:34,2026-01-05 10:40:42,7.83,4.4,0.62,Ridge
Memphis TN DC,35.1175,-89.9711,39.5149,-104.8941,2026-01-09 15:30:33,2026-01-10 12:50:36,2.27,9.0,1.5,Atlas
Reno NV DC,39.5296,-119.8138,33.9193,-118.2389,2026-01-11 13:38:26,2026-01-11 16:59:54,40.37,2.6,0.39,Summit
Reno NV DC,39.5296,-119.8138,30.1612,-97.8814,2026-01-03 14:19:54,2026-01-04 10:58:03,30.03,3.0,0.4,Ridge
Dallas TX DC,32.8998,-96.8379,34.0515,-118.1676,2026-01-04 09:11:45,2026-01-04 17:42:43,58.31,7.5,1.49,Cascade
Atlanta GA DC,33.6407,-84.4277,36.122,-86.6456,2026-01-22 14:03:23,2026-01-22 15:56:02,86.21,2.5,0.34,Alpine
Edison NJ DC,40.5187,-74.4121,34.0999,-118.3001,2026-01-15 09:09:27,2026-01-15 18:45:08,12.46,3.4,0.7,Atlas
Memphis TN DC,35.1175,-89.9711,29.4819,-95.265,2026-01-10 11:47:25,2026-01-10 17:58:57,110.34,3.2,0.35,Cascade
Edison NJ DC,40.5187,-74.4121,40.5203,-73.8813,2026-01-01 13:55:02,2026-01-01 15:36:08,62.38,12.6,2.35,Horizon
Atlanta GA DC,33.6407,-84.4277,39.7951,-86.2093,2026-01-10 13:18:49,2026-01-10 17:11:24,97.32,15.1,2.62,Cascade
Reno NV DC,39.5296,-119.8138,32.9034,-117.3175,2026-01-01 14:55:21,2026-01-02 08:19:25,75.97,53.4,5.09,Atlas
Dallas TX DC,32.8998,-96.8379,32.7112,-96.7936,2026-01-10 11:21:55,2026-01-10 18:42:23,32.36,2.5,0.15,Cascade
Chicago IL DC,41.85,-87.882,33.8756,-117.8875,2026-01-16 18:34:33,2026-01-17 06:10:54,6.77,6.3,1.01,Alpine
Edison NJ DC,40.5187,-74.4121,40.3853,-74.1106,2026-01-21 19:38:24,2026-01-22 06:03:48,55.82,1.5,0.16,Cascade
Dallas TX DC,32.8998,-96.8379,29.97,-95.1791,2026-01-22 11:53:15,2026-01-22 17:15:08,12.43,0.6,0.11,Horizon
Dallas TX DC,32.8998,-96.8379,39.9177,-82.7374,2026-01-29 08:18:31,2026-01-29 18:12:14,49.56,11.1,1.9,Metro
Dallas TX DC,32.8998,-96.8379,29.2649,-98.5382,2026-01-06 12:14:46,2026-01-06 17:55:20,214.19,2.8,0.71,Horizon
Reno NV DC,39.5296,-119.8138,33.6208,-112.0332,2026-01-27 16:33:03,2026-01-28 08:25:28,63.23,5.8,0.97,Pacific
Reno NV DC,39.5296,-119.8138,33.9756,-118.4471,2026-01-26 15:20:08,2026-01-27 11:23:41,69.96,1.0,0.27,Ridge
Edison NJ DC,40.5187,-74.4121,40.7017,-73.9714,2026-01-02 11:15:21,2026-01-02 18:33:16,48.44,1.4,0.2,Summit
Reno NV DC,39.5296,-119.8138,33.3539,-112.1284,2026-01-14 10:29:26,2026-01-14 18:58:54,11.58,2.7,0.57,Atlas
Memphis TN DC,35.1175,-89.9711,30.1446,-97.709,2026-01-26 16:22:05,2026-01-27 10:04:29,27.65,33.5,9.24,Summit
Reno NV DC,39.5296,-119.8138,32.5877,-116.9903,2026-01-21 13:53:25,2026-01-21 14:38:09,234.35,2.8,0.55,Horizon
Edison NJ DC,40.5187,-74.4121,40.6432,-73.7671,2026-01-04 06:33:18,2026-01-04 14:39:36,20.76,11.1,2.97,Cascade
Dallas TX DC,32.8998,-96.8379,29.9841,-95.2553,2026-01-21 12:54:11,2026-01-21 16:57:20,10.37,3.1,0.44,Pacific
Atlanta GA DC,33.6407,-84.4277,32.8722,-117.481,2026-01-08 20:35:06,2026-01-09 07:09:06,56.6,6.3,1.42,Atlas
Memphis TN DC,35.1175,-89.9711,40.7524,-73.9944,2026-01-04 14:24:24,2026-01-04 18:41:43,19.33,2.0,0.15,Ridge
Dallas TX DC,32.8998,-96.8379,32.8894,-96.8424,2026-01-07 11:23:03,2026-01-07 16:10:50,66.64,12.5,1.87,Summit
Edison NJ DC,40.5187,-74.4121,41.5179,-96.0861,2026-01-07 08:03:58,2026-01-07 15:57:40,41.46,7.8,1.9,Alpine
Reno NV DC,39.5296,-119.8138,34.4941,-118.2882,2026-01-24 18:08:47,2026-01-24 15:53:05,38.66,3.1,0.48,Cascade
Edison NJ DC,40.5187,-74.4121,42.1027,-71.0202,2026-01-04 06:02:07,2026-01-04 16:19:12,258.73,2.1,0.12,Ridge
Memphis TN DC,35.1175,-89.9711,36.0986,-86.7496,2026-01-14 16:09:53,2026-01-14 16:10:33,55.39,7.2,1.44,Pacific
Chicago IL DC,41.85,-87.882,29.7063,-95.412,2026-01-26 11:46:38,2026-01-27 11:43:09,29.73,3.0,0.46,Cascade
Memphis TN DC,35.1175,-89.9711,34.0082,-118.1374,2026-01-21 12:05:40,2026-01-21 14:20:21,64.64,18.7,4.07,Atlas
Reno NV DC,39.5296,-119.8138,41.7514,-87.8451,2026-01-22 17:22:49,2026-01-23 12:09:46,7.88,2.9,0.76,Metro
Edison NJ DC,40.5187,-74.4121,40.6936,-73.9003,2026-01-17 14:43:43,2026-01-17 14:57:53,57.2,5.9,0.7,Pacific
Atlanta GA DC,33.6407,-84.4277,39.7121,-86.0817,2026-01-20 18:01:17,2026-01-20 18:34:54,14.26,3.2,0.74,Cascade
Edison NJ DC,40.5187,-74.4121,45.1183,-93.0566,2026-01-03 11:38:19,2026-01-03 16:13:03,12.18,3.5,0.77,Ridge
Memphis TN DC,35.1175,-89.9711,33.4104,-111.9752,2026-01-02 16:49:34,2026-01-02 16:46:22,21.97,4.5,0.37,Summit
Edison NJ DC,40.5187,-74.4121,33.5843,-112.3093,2026-01-26 14:58:13,2026-01-27 10:15:59,44.91,7.3,0.58,Alpine
Chicago IL DC,41.85,-87.882,41.4241,-95.6767,2026-01-21 11:06:09,2026-01-21 17:48:28,45.62,3.6,0.49,Metro
Atlanta GA DC,33.6407,-84.4277,33.9375,-84.2899,2026-01-06 14:52:38,2026-01-07 09:06:08,19.49,1.6,0.38,Cascade
Atlanta GA DC,33.6407,-84.4277,40.7379,-74.1793,2026-01-23 07:36:41,2026-01-23 18:11:11,113.67,11.5,1.84,Ridge
Edison NJ DC,40.5187,-74.4121,29.7212,-95.2561,2026-01-16 12:03:57,2026-01-16 16:31:57,161.29,4.6,0.87,Alpine
Dallas TX DC,32.8998,-96.8379,29.8404,-95.5725,2026-01-15 14:06:10,2026-01-16 10:03:31,42.99,4.9,0.69,Pacific
Edison NJ DC,40.5187,-74.4121,41.9127,-87.8532,2026-01-19 12:35:18,2026-01-19 16:21:07,12.85,5.8,1.32,Cascade
Reno NV DC,39.5296,-119.8138,33.8624,-118.0578,2026-01-21 16:43:01,2026-01-22 08:20:08,51.13,3.3,0.31,Summit
Memphis TN DC,35.1175,-89.9711,41.888,-87.7272,2026-01-05 12:32:37,2026-01-05 18:29:29,10.02,6.8,0.98,Horizon
Reno NV DC,39.5296,-119.8138,40.639,-74.2026,2026-01-22 16:46:06,2026-01-23 11:40:53,71.25,7.5,0.82,Ridge
Chicago IL DC,41.85,-87.882,38.7048,-89.9873,2026-01-14 14:32:48,2026-01-14 15:38:41,14.48,20.9,3.94,Cascade
Edison NJ DC,40.5187,-74.4121,39.6622,-104.998,2026-01-05 10:53:29,2026-01-05 15:41:34,117.0,3.6,0.53,Cascade
Chicago IL DC,41.85,-87.882,42.2194,-87.5687,2026-01-20 14:18:18,2026-01-21 11:43:12,48.94,7.5,0.38,Cascade
Memphis TN DC,35.1175,-89.9711,40.7311,-73.9226,2026-01-19 09:15:37,2026-01-19 17:28:14,8.69,9.4,0.73,Ridge
Dallas TX DC,32.8998,-96.8379,32.8953,-117.1425,2026-01-05 10:15:31,2026-01-05 15:07:58,45.08,4.8,1.43,Alpine
Memphis TN DC,35.1175,-89.9711,41.6687,-87.59,2026-01-08 19:22:41,2026-01-09 08:18:46,192.26,3.5,0.65,Horizon
Atlanta GA DC,33.6407,-84.4277,35.0588,-81.2299,2026-01-06 17:29:24,2026-01-06 15:08:59,374.74,4.9,1.17,Summit
Reno NV DC,39.5296,-119.8138,34.0826,-118.2795,2026-01-09 14:25:57,2026-01-10 11:29:16,23.58,6.8,1.7,Pacific
Atlanta GA DC,33.6407,-84.4277,38.8985,-77.0971,2026-01-25 11:05:08,2026-01-25 18:59:37,17.59,6.4,1.03,Ridge
Memphis TN DC,35.1175,-89.9711,40.8086,-74.1079,2026-01-09 21:04:47,2026-01-10 08:42:27,23.8,6.7,0.39,Ridge
Edison NJ DC,40.5187,-74.4121,40.9504,-73.8992,2026-01-12 10:43:18,2026-01-12 18:25:22,22.24,3.4,0.41,Cascade
Reno NV DC,39.5296,-119.8138,40.7836,-73.8393,2026-01-04 14:13:16,2026-01-05 10:18:29,32.55,10.8,2.97,Ridge
Memphis TN DC,35.1175,-89.9711,28.6841,-81.7439,2026-01-21 13:18:40,2026-01-22 09:26:34,104.07,4.5,0.45,Horizon
Reno NV DC,39.5296,-119.8138,33.9104,-118.2384,2026-01-15 15:56:55,2026-01-15 16:32:02,17.86,4.3,0.66,Cascade
Edison NJ DC,40.5187,-74.4121,40.6887,-73.9523,2026-01-16 17:35:57,2026-01-17 09:45:48,56.12,4.6,1.19,Horizon
Dallas TX DC,32.8998,-96.8379,34.2363,-117.9455,2026-01-29 11:05:16,2026-01-29 18:51:20,11.8,5.3,1.11,Horizon
Edison NJ DC,40.5187,-74.4121,40.4834,-74.2339,2026-01-28 19:05:45,2026-01-28 18:28:44,19.85,5.8,0.33,Pacific
Chicago IL DC,41.85,-87.882,32.7406,-96.6905,2026-01-13 09:10:11,2026-01-13 18:17:33,32.01,5.5,1.26,Metro
Chicago IL DC,41.85,-87.882,43.1372,-87.8008,2026-01-10 11:15:48,2026-01-10 16:34:52,96.9,6.5,0.58,Ridge
Memphis TN DC,35.1175,-89.9711,33.4367,-112.0437,2026-01-16 16:22:12,2026-01-16 16:39:33,30.74,6.7,1.23,Cascade
Reno NV DC,39.5296,-119.8138,29.9393,-95.5326,2026-01-11 10:12:29,2026-01-11 16:00:14,7.57,7.4,2.2,Cascade
Memphis TN DC,35.1175,-89.9711,40.8318,-73.9232,2026-01-17 12:38:20,2026-01-17 18:39:30,214.69,4.6,1.26,Horizon
Memphis TN DC,35.1175,-89.9711,33.9845,-118.302,2026-01-23 13:53:35,2026-01-24 11:58:15,55.23,8.9,1.94,Atlas
Reno NV DC,39.5296,-119.8138,32.7855,-117.3919,2026-01-01 06:50:09,2026-01-01 18:35:57,53.41,5.1,1.06,Atlas
Memphis TN DC,35.1175,-89.9711,40.6968,-74.0405,2026-01-04 16:09:29,2026-01-05 09:31:19,16.72,6.3,0.53,Summit
Dallas TX DC,32.8998,-96.8379,29.5952,-98.4956,2026-01-29 10:34:48,2026-01-29 17:55:51,176.26,8.5,1.72,Summit
Memphis TN DC,35.1175,-89.9711,36.1311,-95.8686,2026-01-30 14:44:38,2026-01-31 10:31:51,30.61,2.3,0.43,Atlas
Atlanta GA DC,33.6407,-84.4277,35.4872,-80.9194,2026-01-09 13:28:37,2026-01-09 17:22:58,13.51,3.2,0.75,Summit
Reno NV DC,39.5296,-119.8138,33.9631,-118.4054,2026-01-02 09:06:36,2026-01-02 15:17:49,114.57,4.3,1.25,Metro
Reno NV DC,39.5296,-119.8138,34.2914,-118.1505,2026-01-07 13:02:54,2026-01-08 09:48:55,13.91,0.8,0.21,Pacific
Edison NJ DC,40.5187,-74.4121,45.1718,-93.2537,2026-01-30 12:34:20,2026-01-30 15:07:03,102.73,2.8,0.25,Ridge
Reno NV DC,39.5296,-119.8138,37.3332,-121.9111,2026-01-09 13:39:02,2026-01-10 11:59:01,105.35,2.7,0.35,Summit
Edison NJ DC,40.5187,-74.4121,40.5913,-73.897,2026-01-10 10:16:48,2026-01-10 15:34:51,18.96,4.6,1.04,Pacific
Dallas TX DC,32.8998,-96.8379,30.0378,-98.0159,2026-01-07 17:29:41,2026-01-08 12:58:33,16.0,13.8,2.75,Cascade
Memphis TN DC,35.1175,-89.9711,33.3085,-112.099,2026-01-04 17:12:25,2026-01-05 06:39:57,13.54,4.6,0.47,Ridge
Edison NJ DC,40.5187,-74.4121,40.4406,-74.0238,2026-01-16 13:29:18,2026-01-16 16:54:59,62.43,24.7,4.81,Alpine
Edison NJ DC,40.5187,-74.4121,29.703,-95.548,2026-01-27 17:18:14,2026-01-28 09:45:48,51.0,13.4,3.58,Atlas
Chicago IL DC,41.85,-87.882,41.7875,-87.8312,2026-01-20 12:34:40,2026-01-20 15:43:56,54.76,1.9,0.35,Atlas
Atlanta GA DC,33.6407,-84.4277,35.2293,-80.7048,2026-01-29 13:51:07,2026-01-29 18:43:42,58.29,3.8,0.4,Alpine
Reno NV DC,39.5296,-119.8138,40.8223,-74.0105,2026-01-18 09:52:57,2026-01-18 16:55:18,35.24,2.2,0.44,Horizon
Memphis TN DC,35.1175,-89.9711,32.6192,-96.7195,2026-01-29 11:20:31,2026-01-29 17:20:49,12.62,8.7,2.28,Pacific
Edison NJ DC,40.5187,-74.4121,40.0643,-82.867,2026-01-13 10:24:40,2026-01-13 17:13:36,7.84,2.5,0.55,Alpine
Chicago IL DC,41.85,-87.882,40.0574,-82.7637,2026-01-17 07:21:20,2026-01-17 14:23:58,80.66,0.9,0.21,Ridge
Chicago IL DC,41.85,-87.882,39.69,-86.3786,2026-01-08 12:29:05,2026-01-08 16:04:35,19.82,12.0,3.01,Ridge
Atlanta GA DC,33.6407,-84.4277,25.7185,-80.1004,2026-01-02 17:01:54,2026-01-03 12:58:33,41.81,2.2,0.32,Summit
Dallas TX DC,32.8998,-96.8379,33.3198,-112.2622,2026-01-25 18:31:46,2026-01-26 10:20:25,4.36,3.7,0.69,Alpine
Reno NV DC,39.5296,-119.8138,33.4797,-112.124,2026-01-02 15:40:49,2026-01-02 15:51:08,18.74,8.1,1.38,Ridge
Edison NJ DC,40.5187,-74.4121,40.5615,-74.037,2026-01-22 11:32:43,2026-01-22 17:05:48,15.71,5.5,0.64,Atlas
Edison NJ DC,40.5187,-74.4121,40.8737,-74.0481,2026-01-21 12:05:36,2026-01-21 14:22:22,10.77,4.8,0.25,Horizon
Edison NJ DC,40.5187,-74.4121,40.8345,-74.1843,2026-01-30 20:58:37,2026-01-31 09:22:38,38.75,2.3,0.49,Horizon
Chicago IL DC,41.85,-87.882,39.6175,-85.8063,2026-01-23 13:04:23,2026-01-23 18:00:12,5.27,1.7,0.14,Cascade
Chicago IL DC,41.85,-87.882,33.4976,-112.082,2026-01-26 11:38:44,2026-01-26 16:14:18,10.91,3.3,0.71,Cascade
Edison NJ DC,40.5187,-74.4121,25.73,-80.0835,2026-01-09 10:09:23,2026-01-09 16:57:22,25.46,13.4,3.22,Cascade
Edison NJ DC,40.5187,-74.4121,40.7756,-73.8548,2026-01-13 16:05:30,2026-01-14 10:56:26,16.95,9.0,2.68,Summit
Atlanta GA DC,33.6407,-84.4277,32.7868,-117.0326,2026-01-10 12:27:52,2026-01-10 16:49:51,32.16,2.9,0.6,Summit
Dallas TX DC,32.8998,-96.8379,29.7719,-95.3567,2026-01-26 09:28:41,2026-01-26 16:33:13,15.67,1.8,0.31,Summit
Chicago IL DC,41.85,-87.882,34.0024,-117.9851,2026-01-28 17:11:18,2026-01-29 12:51:13,86.62,15.5,1.31,Pacific
Reno NV DC,39.5296,-119.8138,33.9231,-118.4434,2026-01-03 17:25:17,2026-01-04 11:35:12,47.36,0.7,0.13,Cascade
Edison NJ DC,40.5187,-74.4121,40.7153,-73.7843,2026-01-19 10:41:41,2026-01-19 17:58:55,29.35,2.3,0.41,Summit
Dallas TX DC,32.8998,-96.8379,29.5604,-95.2067,2026-01-16 13:06:07,2026-01-16 14:59:57,13.55,4.1,0.7,Ridge
Edison NJ DC,40.5187,-74.4121,40.684,-74.1681,2026-01-02 13:21:18,2026-01-02 15:34:43,35.21,3.0,0.5,Atlas
Dallas TX DC,32.8998,-96.8379,32.8621,-96.5948,2026-01-23 16:27:10,2026-01-23 15:36:06,4.32,2.4,0.39,Pacific
Reno NV DC,39.5296,-119.8138,36.9491,-121.8606,2026-01-12 12:22:12,2026-01-12 18:34:16,5.92,6.5,0.83,Summit
Reno NV DC,39.5296,-119.8138,34.1464,-118.0332,2026-01-13 15:11:55,2026-01-13 18:49:30,84.39,4.4,0.57,Ridge
Dallas TX DC,32.8998,-96.8379,33.0219,-97.0733,2026-01-06 11:41:33,2026-01-06 17:40:56,13.41,4.4,0.25,Summit
Atlanta GA DC,33.6407,-84.4277,34.0232,-118.0597,2026-01-14 13:35:17,2026-01-15 12:32:36,79.52,8.7,2.59,Cascade
Reno NV DC,39.5296,-119.8138,47.5418,-122.4251,2026-01-01 13:05:21,2026-01-01 14:28:44,61.54,12.6,1.73,Atlas
Edison NJ DC,40.5187,-74.4121,40.7782,-73.9277,2026-01-02 12:34:15,2026-01-02 17:58:41,105.81,36.5,6.52,Cascade
Edison NJ DC,40.5187,-74.4121,40.7129,-74.1605,2026-01-09 11:08:22,2026-01-09 17:11:44,274.34,13.6,2.34,Pacific
Chicago IL DC,41.85,-87.882,32.7346,-96.755,2026-01-24 09:44:47,2026-01-24 16:41:46,28.45,10.6,2.77,Cascade
Chicago IL DC,41.85,-87.882,47.3921,-122.2749,2026-01-02 11:27:53,2026-01-03 11:00:59,3.28,2.6,0.5,Ridge
Edison NJ DC,40.5187,-74.4121,39.1073,-77.1938,2026-01-19 14:59:57,2026-01-20 11:16:03,2.21,3.6,0.78,Horizon
Atlanta GA DC,33.6407,-84.4277,40.5428,-74.1773,2026-01-13 15:13:46,2026-01-14 09:36:04,46.27,4.2,0.57,Cascade
Edison NJ DC,40.5187,-74.4121,42.9684,-87.869,2026-01-12 13:20:37,2026-01-12 16:03:01,54.65,4.7,1.0,Ridge
Memphis TN DC,35.1175,-89.9711,41.9354,-87.3873,2026-01-19 12:57:29,2026-01-19 18:47:47,95.12,3.3,0.39,Cascade
Dallas TX DC,32.8998,-96.8379,33.8591,-118.3858,2026-01-29 19:56:15,2026-01-30 12:55:35,41.52,2.9,0.71,Summit
Reno NV DC,39.5296,-119.8138,33.5824,-111.9592,2026-01-16 22:59:58,2026-01-17 06:59:43,9.92,3.5,0.33,Ridge
Edison NJ DC,40.5187,-74.4121,36.1575,-96.0201,2026-01-08 15:50:24,2026-01-09 10:39:08,51.52,3.0,0.21,Horizon
Dallas TX DC,32.8998,-96.8379,33.9862,-118.0768,2026-01-25 11:40:11,2026-01-26 08:38:27,18.56,10.1,1.12,Atlas
Edison NJ DC,40.5187,-74.4121,40.6744,-74.0387,2026-01-20 14:08:51,2026-01-20 15:48:28,32.8,5.1,0.59,Metro
Chicago IL DC,41.85,-87.882,40.7359,-74.1224,2026-01-24 19:17:47,2026-01-25 10:58:20,78.29,1.5,0.21,Ridge
Chicago IL DC,41.85,-87.882,40.005,-82.9227,2026-01-27 13:47:23,2026-01-27 14:34:16,9.73,9.0,2.61,Alpine
Dallas TX DC,32.8998,-96.8379,29.6354,-98.6204,2026-01-10 09:17:50,2026-01-10 18:22:29,21.37,8.8,2.21,Alpine
Dallas TX DC,32.8998,-96.8379,36.3063,-95.9224,2026-01-26 12:00:22,2026-01-26 16:23:10,38.75,6.1,1.21,Ridge
Dallas TX DC,32.8998,-96.8379,28.5777,-81.6196,2026-01-24 18:01:03,2026-01-25 10:22:16,70.87,1.6,0.38,Atlas
Chicago IL DC,41.85,-87.882,36.1527,-86.8512,2026-01-08 12:09:50,2026-01-08 14:44:13,11.96,10.1,2.77,Ridge
Atlanta GA DC,33.6407,-84.4277,41.3103,-95.9638,2026-01-25 17:27:23,2026-01-26 09:22:33,17.97,1.3,0.29,Metro
Dallas TX DC,32.8998,-96.8379,34.0441,-118.1852,2026-01-24 12:10:16,2026-01-24 16:41:40,23.44,3.1,0.25,Horizon
Dallas TX DC,32.8998,-96.8379,35.1488,-80.6223,2026-01-07 15:45:53,2026-01-08 10:04:10,27.46,1.0,0.09,Atlas
Edison NJ DC,40.5187,-74.4121,39.7832,-83.0641,2026-01-04 14:03:23,2026-01-05 09:50:44,18.3,7.2,0.83,Cascade
Edison NJ DC,40.5187,-74.4121,41.0103,-73.8784,2026-01-04 18:21:47,2026-01-04 17:28:16,21.84,4.4,0.69,Metro
Chicago IL DC,41.85,-87.882,40.7596,-73.8938,2026-01-02 12:18:51,2026-01-02 18:08:00,31.84,3.4,0.72,Summit
Memphis TN DC,35.1175,-89.9711,32.8627,-97.0498,2026-01-24 11:31:45,2026-01-24 18:04:31,33.34,2.4,0.25,Pacific
Dallas TX DC,32.8998,-96.8379,40.8967,-74.0158,2026-01-30 15:42:58,2026-01-31 12:44:40,73.02,1.5,0.38,Metro
Memphis TN DC,35.1175,-89.9711,39.9977,-86.117,2026-01-17 12:51:48,2026-01-18 11:51:07,36.15,5.2,0.88,Metro
Chicago IL DC,41.85,-87.882,39.7922,-86.0824,2026-01-28 15:01:19,2026-01-28 15:39:23,27.13,3.3,0.29,Atlas
Edison NJ DC,40.5187,-74.4121,39.1177,-77.09,2026-01-30 11:50:41,2026-01-30 18:25:59,78.87,7.1,0.67,Alpine
Memphis TN DC,35.1175,-89.9711,35.2913,-90.0964,2026-01-29 17:58:56,2026-01-30 12:28:55,11.0,7.0,2.07,Horizon
Dallas TX DC,32.8998,-96.8379,33.0478,-96.861,2026-01-22 13:13:09,2026-01-22 14:14:16,9.93,6.2,0.99,Atlas
Dallas TX DC,32.8998,-96.8379,41.3832,-96.114,2026-01-17 16:55:14,2026-01-18 09:40:45,76.8,2.4,0.45,Cascade
Reno NV DC,39.5296,-119.8138,34.3681,-118.273,2026-01-13 11:27:10,2026-01-13 17:47:44,14.0,1.1,0.25,Pacific
Reno NV DC,39.5296,-119.8138,37.3184,-121.8219,2026-01-17 12:00:25,2026-01-17 16:50:34,145.78,4.3,0.44,Pacific
Chicago IL DC,41.85,-87.882,42.9656,-87.8942,2026-01-15 15:41:48,2026-01-16 09:14:29,23.16,4.0,1.04,Alpine
Edison NJ DC,40.5187,-74.4121,40.6905,-74.0699,2026-01-25 09:14:22,2026-01-25 17:42:31,24.52,11.7,3.16,Ridge
Edison NJ DC,40.5187,-74.4121,33.8199,-118.0631,2026-01-18 10:39:42,2026-01-18 17:23:37,10.89,14.7,4.4,Horizon
Memphis TN DC,35.1175,-89.9711,36.1464,-86.4522,2026-01-03 11:20:54,2026-01-03 18:36:33,18.78,12.7,2.29,Atlas
Edison NJ DC,40.5187,-74.4121,40.8272,-73.8493,2026-01-29 15:49:43,2026-01-29 16:42:46,79.92,7.4,1.25,Horizon
